FOOTN_TYPE_ID,LANG_ID,DESCR,X_NATIONAL, 
01,EN,"UK tax type, to distinguish which applies by tax type when several Excise measures on commodity",1, 
02,EN,UK complex calculation of excise duty (small brewery beer and cigarettes rate calculation),1, 
03,EN,"UK VAT rate, to distinguish which applies when multiple rates on same commodity",1, 
04,EN,UK footnotes on prohibitions and restrictions,1, 
05,EN,UK footnotes on commodities,1, 
06,EN,UK footnotes on EU measures,1, 
