FOOTN_TYPE_ID,START_DATE,END_DATE,FOOTN_TYPE_APPL_CD,X_NATIONAL,X_NATIONAL_ABBREV, 
01,1970-01-01 00:00:00,,6,1,, 
02,1970-01-01 00:00:00,,6,1,, 
03,1970-01-01 00:00:00,,6,1,, 
04,1970-01-01 00:00:00,,6,1,, 
05,1970-01-01 00:00:00,,2,1,, 
06,1970-01-01 00:00:00,,7,1,, 
