"fe_tsmp","msrgp_code","msr_type","tty_code","tar_msr_no","le_tsmp","adval_rate","alch_sgth","audit_tsmp","cap_ai_stmt","cap_max_pct","cmdty_msr_xhdg","comp_mthd","cpc_wvr_phb","ec_msr_set","mip_band_exch","mip_rate_exch","mip_uoq_code","nba_id","null_tri_rqd","qta_code_uk","qta_elig_use","qta_exch_rate","qta_no","qta_uoq_code","rfa","rfs_code_1","rfs_code_2","rfs_code_3","rfs_code_4","rfs_code_5","tdr_spr_sur","exports_use_ind","processed","amend_indicator","origin","ec_sctr"
"2012-07-01 00:00:00","PR","AHC",NULL,"0304999940",NULL,NULL,NULL,"2012-06-21 09:07:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,"0303661190",NULL,NULL,NULL,"2012-06-21 09:06:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,"0201202099",NULL,NULL,NULL,"2012-06-21 09:05:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,"0304499050",NULL,NULL,NULL,"2012-06-21 09:07:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","CVD",NULL,1604141645,NULL,-1.000,NULL,"2012-06-21 09:09:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,"0304870020",NULL,NULL,NULL,"2012-06-21 09:07:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,"0305720054",NULL,NULL,NULL,"2012-06-21 09:08:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,"0202201010",NULL,NULL,NULL,"2012-06-21 09:05:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","CVD",NULL,"04022191",NULL,NULL,NULL,"2012-06-21 09:08:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","CVD",NULL,"03024700",NULL,NULL,NULL,"2012-06-21 09:06:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","CVD",NULL,"0305598065",NULL,NULL,NULL,"2012-06-21 09:07:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","CVD",NULL,16056900,NULL,NULL,NULL,"2012-06-21 09:09:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,"03019410",NULL,NULL,NULL,"2012-06-21 09:06:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,4202210090,NULL,NULL,NULL,"2012-06-21 09:11:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,"0304999910",NULL,NULL,NULL,"2012-06-21 09:07:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,"0202203010",NULL,NULL,NULL,"2012-06-21 09:05:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,"03023599",NULL,NULL,NULL,"2012-06-21 09:06:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,6403919391,NULL,NULL,NULL,"2012-06-21 09:02:00","null",NULL,"N","null","N","null","null","null","null","null","N","null","N","null","null","null","null","null","null","null","null","null","null",0,0,"X","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,"03049540",NULL,NULL,NULL,"2012-06-21 09:07:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,"0303909020",NULL,NULL,NULL,"2012-06-21 09:06:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,"03038910",NULL,NULL,NULL,"2012-06-21 09:06:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,6403911610,NULL,NULL,NULL,"2012-06-21 09:02:00","null",NULL,"N","null","N","null","null","null","null","null","N","null","N","null","null","null","null","null","null","null","null","null","null",0,0,"X","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,"03055930",NULL,NULL,NULL,"2012-06-21 09:07:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","CVD",NULL,16056300,NULL,NULL,NULL,"2012-06-21 09:09:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","EQC",NULL,"07099310",NULL,-1.000,NULL,"2012-06-21 09:08:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",1,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","CVD",NULL,"03025490",NULL,NULL,NULL,"2012-06-21 09:06:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
