"fe_tsmp","msrgp_code","msr_type","tty_code","le_tsmp","audit_tsmp","cmdty_code","cmdty_msr_xhdg","null_tri_rqd","exports_use_ind","tar_msr_no","processed","amend_indicator","origin"
"2012-06-29 11:27:00","VT","S","B00","2012-07-01 00:00:00","2012-06-29 11:26:00",7318149998,"N","N",0,NULL,0,"X","2012-06-30_KBT009(12182).txt"
"2012-06-29 11:21:00","VT","S","B00","2012-06-29 11:27:00","2012-06-29 11:20:00",7318149998,"N","N",0,NULL,0,"I","2012-06-30_KBT009(12182).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:01:00",2402900000,"N","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","EX","EXF",611,NULL,"2012-06-21 09:01:00",2402900000,"N","Y",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:00:00","0303570000","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:01:00","0305698090","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,NULL,"2012-06-21 09:02:00",6403919695,"N","N",0,6403919695,0,"X","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:02:00",6403919695,"N","N",0,NULL,0,"X","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:03:00",8482300000,"N","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:00:00","0304430090","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:01:00",3204120090,"N","N",0,NULL,0,"I","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:01:00","03054410","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,NULL,"2012-06-21 09:02:00",6403990598,"N","N",0,6403990598,0,"X","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:02:00",6403990598,"N","N",0,NULL,0,"X","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:03:00",8506900000,"N","N",0,NULL,0,"X","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:01:00",3904698095,"N","N",0,NULL,0,"X","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,NULL,"2012-06-21 09:02:00",6403999398,"N","N",0,6403999398,0,"X","2012-07-02_KBT009(12184).txt"
